Date;Open;High;Low;Close
29-Mar-17;1046.08;1055.13;1015.88;1039.97
30-Mar-17;1042.21;1049.29;1020.04;1026.43
31-Mar-17;1026.64;1074.92;1026.64;1071.79
01-Apr-17;1071.71;1091.72;1061.09;1080.50
02-Apr-17;1080.61;1107.59;1075.45;1102.17
03-Apr-17;1102.95;1151.74;1102.95;1143.81
04-Apr-17;1145.52;1156.44;1120.52;1133.25
05-Apr-17;1134.14;1135.09;1113.63;1124.78
06-Apr-17;1125.81;1188.37;1125.81;1182.68
07-Apr-17;1178.94;1186.58;1163.39;1176.90
08-Apr-17;1172.65;1184.98;1162.58;1175.95
09-Apr-17;1176.57;1197.21;1171.86;1187.87
10-Apr-17;1187.30;1190.34;1179.04;1187.13
11-Apr-17;1187.46;1208.07;1187.46;1205.01
12-Apr-17;1204.81;1207.14;1196.76;1200.37
13-Apr-17;1201.02;1205.89;1156.44;1169.28
14-Apr-17;1170.33;1190.80;1159.79;1167.54
15-Apr-17;1167.30;1188.00;1164.96;1172.52
16-Apr-17;1172.61;1187.22;1172.61;1182.94
17-Apr-17;1183.25;1194.90;1172.65;1193.91
18-Apr-17;1193.77;1217.57;1193.77;1211.67
19-Apr-17;1212.13;1215.51;1205.08;1210.29
20-Apr-17;1211.08;1240.79;1208.41;1229.08
21-Apr-17;1229.42;1235.94;1215.56;1222.05
22-Apr-17;1222.71;1235.56;1208.47;1231.71
23-Apr-17;1231.92;1232.20;1203.94;1207.21
24-Apr-17;1209.63;1250.94;1209.63;1250.15
25-Apr-17;1250.45;1267.58;1249.97;1265.49
26-Apr-17;1265.99;1294.83;1265.93;1281.08
27-Apr-17;1281.88;1319.70;1281.30;1317.73
28-Apr-17;1317.74;1331.28;1292.37;1316.48
29-Apr-17;1317.84;1327.20;1315.21;1321.79
30-Apr-17;1321.87;1347.91;1314.92;1347.89
01-May-17;1348.30;1434.32;1348.30;1421.60
02-May-17;1421.03;1473.90;1415.69;1452.82
03-May-17;1453.78;1492.77;1447.49;1490.09
04-May-17;1490.72;1608.91;1490.72;1537.67
05-May-17;1540.87;1618.03;1530.31;1555.45
06-May-17;1556.81;1578.80;1542.50;1578.80
07-May-17;1579.47;1596.72;1559.76;1596.71
08-May-17;1596.92;1723.35;1596.92;1723.35
09-May-17;1723.89;1833.49;1716.30;1755.36
10-May-17;1756.52;1788.44;1719.10;1787.13
11-May-17;1780.37;1873.93;1755.35;1848.57
12-May-17;1845.76;1856.15;1694.01;1724.24
13-May-17;1723.12;1812.99;1651.08;1804.91
14-May-17;1800.86;1831.42;1776.62;1808.91
15-May-17;1808.44;1812.80;1708.54;1738.43
16-May-17;1741.70;1785.94;1686.54;1734.45
17-May-17;1726.73;1864.05;1661.91;1839.09
18-May-17;1818.70;1904.48;1807.12;1888.65
19-May-17;1897.37;2004.52;1890.25;1987.71
20-May-17;1984.24;2084.73;1974.92;2084.73
21-May-17;2067.03;2119.08;2037.50;2041.20
22-May-17;2043.19;2303.90;2017.87;2173.40
23-May-17;2191.56;2320.82;2178.50;2320.42
24-May-17;2321.37;2523.72;2321.37;2443.64
25-May-17;2446.24;2763.71;2285.30;2304.98
26-May-17;2320.89;2573.79;2071.99;2202.42
27-May-17;2196.27;2260.20;1855.83;2038.87
28-May-17;2054.08;2267.34;2054.08;2155.80
29-May-17;2159.43;2307.05;2107.17;2255.61
30-May-17;2255.36;2301.96;2124.57;2175.47
31-May-17;2187.19;2311.08;2145.57;2286.41
01-Jun-17;2288.33;2448.39;2288.33;2407.88
02-Jun-17;2404.03;2488.55;2373.32;2488.55
03-Jun-17;2493.72;2581.91;2423.57;2515.35
04-Jun-17;2547.79;2585.89;2452.54;2511.81
